ASCTB.CT/ID,ASCTB.CT/LABEL,AZ.CT/ID,AZ.CT/LABEL
CL:1001109,Cortical Thick Ascending Limb Cell,CL:1001106,Thick Ascending Limb
CL:1000714,Cortical Collecting Duct Principal Cell,CL:1001431,Cortical Collecting Duct Principal
CL:1000718,Inner Medullary Collecting Duct Cell,CL:1001431,Cortical Collecting Duct Principal
CL:1000692,Fibroblast,CL:0000057,Fibroblast
CL:1000698,M2-Macrophage,CL:0000235,M2 Macrophage
CL:0000623,Natural Killer Cell,CL:0000542,Natural Killer T
CL:0000814,Natural Killer T Cell,CL:0000542,Natural Killer T
CL:0001058,Dendritic Cell (plasmatoid),CL:0000784,Plasmacytoid Dendritic
CL:0000084,T Cell,CL:0000542,Natural Killer T
CL:0000910,Cytotoxic T Cell,CL:0000542,Natural Killer T
CL:0000236,B cell,CL:0000542,Natural Killer T
