CT/ID,CT/LABEL
,capsule mesenchymal stromal cell
,
CL:1000452,Parietal Epithelial Cell
CL:0000653,Podocyte
CL:1001005,Glomerular Capillary Endothelial Cell
CL:1000742,Mesangial Cell
CL:0002306,Proximal Tubule Epithelial Cell
,Proximal Tubule Epithelial Cell Segment 1
,Proximal Tubule Epithelial Cell Segment 2
,Proximal Tubule Cell Epithelial Segment 3
CL:1001111,Descending Thin Limb Cell
,Descending Thin Limb Cell Type 1
,Descending Thin Limb Cell Type 2
,Descending Thin Limb Cell Type 3
CL:1001107,Ascending Thin Limb Cell
CL:1001106,Thick Ascending Limb Cell
CL:1001109,Cortical Thick Ascending Limb Cell
CL:1001108,Medullary Thick Ascending Limb Cell
CL:1000850,Macula Densa cell
CL:1000849,Distal Convoluted Tubule Cell
,Distal Convoluted Tubule Cell Type 1
,Distal Convoluted Tubule Cell Type 2
CL:1000768,Connecting Tubule Cell
,Connecting Tubule Principal Cell
,Connecting Tubule Intercalated Cell
,Connecting Tubule Intercalated Cell Type A
,Connecting Tubule Intercalated Cell Type B
CL:1000454,Collecting Duct Cell
CL:1001431,Collecting Duct Principal Cell
CL:1000714,Cortical Collecting Duct Principal Cell
CL:1000716,Outer Medullary Collecting Duct Principal Cell
CL:1000718,Inner Medullary Collecting Duct Cell
,Transitional principal-intercalated cell
CL:1001432,Collecting Duct Intercalated Cell
,Collecting Duct Intercalated Cell Type A
CL:1000715,Cortical Collecting Duct Intercalated Cell Type A
CL:1000717,Outer Medullary Collecting Duct Intercalated Cell Type A
CL:0002201,Intercalated Cell Type B
CL:1000715,Cortical Collecting Duct Intercalated Cell Type B
CL:0000115,Endothelial Cell
CL:1001096,Afferent Arteriole Endothelial Cell
CL:1001099,Efferent Arteriole cell
CL:1001033,Peritubular Capillary Endothelial Cell
CL:1001285,Descending Vasa Recta Endothelial Cell
CL:1001131,Ascending Vasa Recta Endothelial Cell
CL:0002138,Lymphatic Endothelial Cell
CL:1001318,Vascular Smooth Muscle Cell/Pericyte (general)
CL:0000648,Juxtaglomerular granular cell (Renin positive)
CL:1000692,Fibroblast
CL:1000691,Myofibroblast
CL:1000698,M2-Macrophage
CL:0000875,non Classical Monocyte
CL:0000623,Natural Killer Cell
CL:0000814,Natural Killer T Cell
CL:0001056,Dendritic Cell (general)
CL:0000990,Dendritic Cell (classical)
CL:0001058,Dendritic Cell (plasmatoid)
CL:0000576,Monocyte
CL:0000084,T Cell
CL:0000910,Cytotoxic T Cell
CL:0000236,B cell
CL:0000786,Plasma cell
CL:0000775,Neutrophil
CL:0000097,Mast cell
